age,job,marital,education,default,balance,housing,loan,contact,poutcome,Target,avgloginspermonth,AvgSessiontime,bounceRate,successrate,timeontask,featureusagescore
18,student,single,unknown,no,108,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
18,student,single,unknown,no,35,no,no,telephone,unknown,no,15,130,0.3,0.7,90,0.8
18,student,single,unknown,no,3,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
18,student,single,unknown,no,108,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
18,student,single,unknown,no,108,no,no,cellular,success,yes,8,50,0.8,0.2,210,0.3
18,student,single,unknown,no,348,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
18,student,single,unknown,no,438,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
19,student,single,unknown,no,1169,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
19,student,single,unknown,no,0,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
19,student,single,unknown,no,27,no,no,telephone,unknown,no,15,130,0.3,0.7,90,0.8
19,student,single,unknown,no,779,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
19,student,single,unknown,no,5368,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
19,student,single,unknown,no,60,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
19,student,single,unknown,no,179,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
19,student,single,unknown,no,108,no,no,cellular,success,yes,8,50,0.8,0.2,210,0.3
19,student,single,unknown,no,108,no,no,cellular,success,yes,8,50,0.8,0.2,210,0.3
20,student,single,unknown,no,8860,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
20,student,single,unknown,no,4137,yes,no,telephone,unknown,no,15,130,0.3,0.7,90,0.8
20,student,single,unknown,no,330,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
20,student,married,unknown,no,292,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
20,student,single,unknown,no,457,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
20,student,single,unknown,no,829,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
20,student,married,unknown,no,292,no,no,cellular,failure,yes,8,50,0.8,0.2,210,0.3
20,student,single,unknown,no,479,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
20,student,single,unknown,no,801,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
20,student,single,unknown,no,755,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
20,student,single,unknown,no,167,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
20,student,single,unknown,no,829,no,no,cellular,success,yes,8,50,0.8,0.2,210,0.3
20,student,single,unknown,no,179,no,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
20,student,single,unknown,no,2785,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
20,student,single,unknown,no,179,no,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
21,student,single,unknown,no,137,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
21,student,single,unknown,no,210,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
21,admin.,single,unknown,no,-28,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
21,technician,single,unknown,no,360,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
21,student,single,unknown,no,330,no,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
21,student,single,unknown,no,200,no,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
21,student,single,unknown,no,53,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
21,student,single,unknown,no,762,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
21,student,single,unknown,no,1506,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
22,student,single,unknown,no,1,no,no,telephone,unknown,no,15,130,0.3,0.7,90,0.8
22,student,single,unknown,no,466,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
22,student,single,unknown,no,47,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
22,student,single,unknown,no,3317,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
22,student,single,unknown,no,1215,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
22,student,single,unknown,no,2281,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
22,student,single,unknown,no,410,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
22,student,single,unknown,no,1215,no,no,cellular,failure,yes,8,50,0.8,0.2,210,0.3
22,student,single,unknown,no,1232,no,no,cellular,other,yes,8,50,0.8,0.2,210,0.3
22,services,single,unknown,no,739,no,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
22,student,single,unknown,no,549,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
23,management,single,unknown,no,375,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
23,technician,single,unknown,no,710,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
23,student,single,unknown,no,854,yes,no,unknown,unknown,yes,8,50,0.8,0.2,210,0.3
23,technician,single,unknown,no,314,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
23,technician,single,unknown,no,231,yes,no,cellular,other,no,15,130,0.3,0.7,90,0.8
23,services,single,unknown,no,15,yes,no,cellular,other,no,15,130,0.3,0.7,90,0.8
23,blue-collar,single,unknown,no,817,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
23,student,single,unknown,no,565,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
23,student,single,unknown,no,2530,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
24,blue-collar,single,unknown,no,11,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
24,blue-collar,single,unknown,no,76,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
24,technician,single,unknown,no,818,yes,yes,unknown,unknown,no,15,130,0.3,0.7,90,0.8
24,student,single,unknown,no,3298,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
24,blue-collar,single,unknown,no,431,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
24,self-employed,single,unknown,no,1179,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
24,management,married,unknown,no,448,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
24,student,married,unknown,no,146,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
24,services,single,unknown,no,2022,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
24,student,single,unknown,no,0,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
24,student,single,unknown,no,782,no,no,cellular,other,no,15,130,0.3,0.7,90,0.8
24,services,single,unknown,no,608,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
24,self-employed,single,unknown,no,1179,no,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
24,student,married,unknown,no,146,no,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
24,blue-collar,single,unknown,no,192,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
24,student,single,unknown,no,839,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
24,student,single,unknown,no,1693,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
24,student,single,unknown,no,358,no,no,cellular,other,yes,8,50,0.8,0.2,210,0.3
24,student,single,unknown,no,1082,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
24,student,single,unknown,no,358,no,no,cellular,success,no,15,130,0.3,0.7,90,0.8
25,unknown,single,unknown,no,329,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
25,technician,married,unknown,no,776,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
25,management,single,unknown,no,17,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
25,services,single,unknown,no,-501,yes,yes,unknown,unknown,no,15,130,0.3,0.7,90,0.8
25,blue-collar,single,unknown,no,373,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
25,management,single,unknown,no,314,no,yes,cellular,unknown,no,15,130,0.3,0.7,90,0.8
25,admin.,married,unknown,no,349,yes,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
25,services,single,unknown,no,342,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
25,student,single,unknown,no,2503,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
25,blue-collar,single,unknown,no,431,yes,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
25,blue-collar,single,unknown,no,586,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
25,student,single,unknown,no,3,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
25,student,single,unknown,no,92,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
25,student,single,unknown,no,277,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
25,self-employed,single,unknown,no,1179,no,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
25,student,single,unknown,no,480,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
25,student,single,unknown,no,10788,no,no,cellular,other,no,15,130,0.3,0.7,90,0.8
25,management,married,unknown,no,448,no,no,cellular,success,yes,8,50,0.8,0.2,210,0.3
25,self-employed,single,unknown,no,1179,no,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
25,student,single,unknown,no,839,no,no,cellular,other,no,15,130,0.3,0.7,90,0.8
25,student,single,unknown,no,722,no,no,telephone,unknown,yes,8,50,0.8,0.2,210,0.3
25,self-employed,single,unknown,no,1179,no,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
25,services,single,unknown,no,2022,no,no,cellular,other,yes,8,50,0.8,0.2,210,0.3
25,student,single,unknown,no,1003,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
26,student,single,unknown,no,-41,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
26,blue-collar,married,unknown,no,407,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
26,blue-collar,single,unknown,no,477,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
26,entrepreneur,married,unknown,no,345,yes,yes,cellular,unknown,no,15,130,0.3,0.7,90,0.8
26,student,single,unknown,no,2020,no,no,telephone,unknown,no,15,130,0.3,0.7,90,0.8
26,student,single,unknown,no,826,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
26,student,single,unknown,no,198,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
26,student,single,unknown,no,598,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
26,technician,married,unknown,no,-277,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
26,student,single,unknown,no,19,no,no,telephone,unknown,no,15,130,0.3,0.7,90,0.8
26,student,single,unknown,no,2503,no,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
26,admin.,single,unknown,no,677,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
26,student,single,unknown,no,689,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
26,admin.,married,unknown,no,4311,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
26,student,single,unknown,no,603,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
27,admin.,single,unknown,no,230,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
27,admin.,single,unknown,no,56,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
27,blue-collar,single,unknown,no,89,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
27,student,single,unknown,no,910,yes,yes,unknown,unknown,no,15,130,0.3,0.7,90,0.8
27,technician,married,unknown,no,811,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
27,blue-collar,married,unknown,no,-442,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
27,management,single,unknown,no,1029,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
27,technician,single,unknown,no,555,no,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
27,entrepreneur,single,unknown,no,1007,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
27,technician,single,unknown,no,59,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
27,admin.,single,unknown,no,5,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
27,blue-collar,divorced,unknown,no,2323,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
27,services,married,unknown,no,-209,yes,yes,cellular,unknown,no,15,130,0.3,0.7,90,0.8
27,student,single,unknown,no,6424,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
27,technician,single,unknown,no,0,yes,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
27,student,single,unknown,no,1444,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
27,student,single,unknown,no,468,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
27,student,single,unknown,no,2183,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
27,management,single,unknown,no,3196,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
27,student,single,unknown,no,1444,no,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
27,entrepreneur,married,unknown,no,345,yes,yes,cellular,failure,no,15,130,0.3,0.7,90,0.8
27,blue-collar,single,unknown,no,-15,yes,yes,cellular,other,no,15,130,0.3,0.7,90,0.8
27,blue-collar,married,unknown,no,409,yes,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
27,student,single,unknown,no,3511,no,no,cellular,unknown,no,15,130,0.3,0.7,90,0.8
27,unknown,single,unknown,no,326,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
27,admin.,single,unknown,no,861,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
27,student,divorced,unknown,no,383,no,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
27,student,single,unknown,no,132,no,no,cellular,unknown,yes,8,50,0.8,0.2,210,0.3
27,student,single,unknown,no,598,no,no,cellular,failure,no,15,130,0.3,0.7,90,0.8
28,blue-collar,married,unknown,no,486,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
28,management,single,unknown,yes,101,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
28,blue-collar,married,unknown,no,52,yes,no,unknown,unknown,no,15,130,0.3,0.7,90,0.8
